Word,Sentense,Pronounce,Definition
Enchanted,"The princess lived in an enchanted castle.","en-CHAN-tid","magical; under a spell"
Elephant,"The elephant sprayed water with its trunk.","EL-uh-fuhnt","a huge animal with a trunk"
Envelope,"I put the letter in an envelope.","EN-vuh-lohp","a paper cover for a letter"
Falter,"His voice began to falter during the speech.","FALL-ter","to hesitate; weaken"
Feather,"I found a soft feather on the ground.","FEH-thur","a bird's light covering"
Finger,"I hurt my finger while playing.","FIN-ger","a part of the hand"
Firefly,"A firefly glowed in the night.","FYR-fly","an insect that makes light"
Fierce,"The lion had a fierce roar.","FEERS","very strong or intense"
Fragile,"The glass vase is very fragile.","FRAJ-uhl","easy to break; delicate"
Garden,"We planted flowers in our garden.","GAR-dn","a place where plants are grown"
Gaze,"He liked to gaze at the stars at night.","GAYZ","to stare steadily"
Gingerbread,"We made a gingerbread house for Christmas.","JIN-jer-bred","spiced sweet bread/cookies"
Giraffe,"A giraffe has a long neck.","ji-RAF","a tall animal with a long neck"
Gleam,"The diamond had a bright gleam.","GLEEM","a small bright shine"
Granola,"I ate granola with yogurt.","gruh-NOH-luh","a cereal of oats and nuts"
Grapefruit,"The grapefruit tasted bitter.","GRAYP-froot","a large citrus fruit"
Happy,"I feel happy when I play with my dog.","HAP-ee","feeling joyful"
Hasty,"She made a hasty decision without thinking.","HAY-stee","done too quickly"
Hedgehog,"A hedgehog curled into a ball.","HEJ-hog","a small spiny animal"
Honey,"I put honey in my tea.","HUH-nee","a sweet food made by bees"
Honeydew,"The honeydew melon was very refreshing.","HUH-nee-doo","a sweet green-fleshed melon"
Horizon,"The sun disappeared beyond the horizon.","huh-RY-zun","where the sky meets the land/sea"
Iceberg,"The ship sailed past an iceberg.","EYES-berg","a large floating piece of ice"
Icicle,"Icicles hung from the roof.","EYE-si-kuhl","a hanging piece of ice"
Igloo,"Eskimos build igloos to stay warm.","IG-loo","a dome-shaped snow house"
Jacket,"I wore a warm jacket in winter.","JAK-it","a short coat"
Jelly,"I love peanut butter and jelly sandwiches.","JEL-ee","a sweet fruit spread"
Jellybean,"My favorite jellybean flavor is cherry.","JEL-ee-been","a small bean-shaped candy"
Jigsaw,"We solved a jigsaw puzzle.","JIG-saw","a puzzle made of many pieces"
Jubilant,"The fans were jubilant after their team won.","JOO-buh-luhnt","very happy; celebrating"
Kangaroo,"A kangaroo can jump really high.","KAN-guh-roo","an Australian hopping animal"
Kitten,"The kitten was soft and fluffy.","KIT-n","a young cat"
Koala,"A koala eats eucalyptus leaves.","koh-AH-luh","an Australian tree-dwelling animal"
Lasagna,"We had cheesy lasagna for dinner.","luh-ZAHN-yuh","layered pasta with sauce/cheese"
Lemon,"This lemon is very sour.","LEH-muhn","a yellow sour citrus fruit"
Lighthouse,"The lighthouse guided the ships at sea.","LITE-hous","a tower with a guiding light"
Lollipop,"I ate a cherry lollipop.","LOL-ee-pop","hard candy on a stick"
Lurking,"I saw a cat lurking in the shadows.","LURK-ing","hiding and waiting secretly"
Macaroni,"I love macaroni and cheese.","mak-uh-ROH-nee","small curved tube pasta"
Marshmallow,"We roasted marshmallows over the fire.","MARSH-mal-oh","a soft puffy sweet"
Meddle,"My brother likes to meddle in my business.","MED-uhl","to interfere in others' affairs"
Mermaid,"The book was about a mermaid.","MUR-mayd","a half-human, half-fish creature"
Mingle,"At the party, I had to mingle with new people.","MING-guhl","to mix or socialize"
Monkey,"The monkey climbed up the tree.","MUN-kee","a playful primate"
Mourn,"We mourned the loss of our pet dog.","MORN","to feel sad about a loss"
Muffin,"I had a blueberry muffin for breakfast.","MUH-fin","a small baked bread/cake"
Mystify,"The puzzle continued to mystify me.","MIS-tuh-fy","to confuse; puzzle"
Necklace,"My mom wore a pearl necklace.","NEK-lis","jewelry worn around the neck"
Nest,"A bird built a nest on our porch.","NEST","a bird's home for eggs"
Nighttime,"The stars shine at nighttime.","NYTE-tym","the time when it is night"
Oatmeal,"Warm oatmeal is great on a cold day.","OHT-meel","cooked oats"
Obnoxious,"The loud music was obnoxious and annoying.","ob-NOK-shus","very annoying"
Obscure,"The answer to the riddle was obscure.","ub-SKYOOR","not clear; hard to understand"
Ocean,"I love swimming in the ocean.","OH-shun","a huge body of salt water"
Octopus,"An octopus has eight arms.","OK-tuh-pus","a sea animal with eight arms"
Orange,"I drank fresh orange juice for breakfast.","OR-inj","a round citrus fruit"
Pencil,"I sharpened my pencil before writing.","PEN-sil","a tool for writing/drawing"
Peril,"The explorers faced great peril on their journey.","PAIR-uhl","danger"
Pineapple,"Pineapple tastes delicious in fruit salad.","PY-nap-uhl","a tropical fruit with rough skin"
Popcorn,"I ate popcorn while watching a movie.","POP-korn","puffed corn kernels"
Popsicle,"I ate a cherry popsicle on a hot day.","POP-si-kuhl","a frozen treat on a stick"
Pretzel,"I dipped a pretzel in cheese sauce.","PRET-zuhl","a twisted baked snack"
Puddle,"I jumped into a puddle.","PUD-ul","a small pool of water"
Puppy,"The puppy chased its tail in circles.","PUP-ee","a young dog"
Pyramid,"We saw a pyramid in a history book.","PEER-uh-mid","a shape with triangular sides"
Question,"The teacher asked a question.","KWES-chuhn","something asked to get an answer"
Quicksand,"Quicksand can be dangerous.","KWIK-sand","sand that traps you when stepped on"
Quiet,"The classroom was quiet during reading time.","KWY-it","making little or no noise"
Rainbow,"A beautiful rainbow appeared after the rain.","RAYN-boh","a curved band of colors in the sky"
Raindrop,"A raindrop fell on my face.","RAYN-drop","a single drop of rain"
Raspberry,"The raspberry jam was sweet and tangy.","RAZ-ber-ee","a small red berry"
Reckless,"It is reckless to run into traffic without looking.","REK-lis","careless; not thinking of danger"
Rocket,"A rocket blasted off into space.","ROK-it","a vehicle that flies into space"
Sandwich,"I ate a peanut butter sandwich.","SAND-wich","food between slices of bread"
Scurry,"The mice scurry away when they hear a noise.","SKUR-ee","to move quickly in short steps"
Seahorse,"The seahorse swam near the coral.","SEE-hors","a small fish shaped like a horse"
Shenanigans,"My dog’s shenanigans left toilet paper everywhere!","shuh-NAN-uh-gunz","silly trouble; mischief"
Smoothie,"My smoothie had bananas and strawberries.","SMOO-thee","a thick blended fruit drink"
Snowman,"We built a big snowman in the yard.","SNOH-man","a person-shaped figure made of snow"
Teddy bear,"The child hugged his teddy bear tightly.","TED-ee bare","a stuffed toy bear"
Tomato,"I put tomato slices on my burger.","tuh-MAY-toh","a red juicy fruit used as a vegetable"
Treasure,"Pirates buried treasure on an island.","TREZH-er","valuable things; riches"
Tremble,"He began to tremble from the cold.","TREM-buhl","to shake slightly"
Turtle,"The turtle moved very slowly.","TUR-tl","an animal with a hard shell"
Umbrella,"I carried my umbrella because it was raining.","um-BREL-uh","a tool that protects from rain"
Unicycle,"He rode a unicycle in the circus.","YOO-ni-sy-kuhl","a one-wheeled cycle"
Universe,"The universe is full of stars.","YOO-nih-vers","everything that exists in space"
Vacation,"We went on vacation to the beach.","vay-KAY-shun","time off for rest or travel"
Violin,"She played the violin beautifully.","VY-oh-lin","a string instrument played with a bow"
Volcano,"The volcano erupted with lava.","vol-KAY-noh","a mountain that can erupt"
Watermelon,"Watermelon is sweet and juicy.","WAW-ter-mel-uhn","a large green fruit with red flesh"
Whipped cream,"I put whipped cream on my hot chocolate.","WHIPT-kreem","cream beaten until fluffy"
Whistle,"The coach blew his whistle loudly.","WHIS-uhl","a device that makes a sharp sound"
Windmill,"The windmill turned in the breeze.","WIND-mil","a machine turned by wind"
Xylophone,"I played a tune on my xylophone.","ZY-luh-fohn","an instrument with wooden bars"
Yacht,"The yacht sailed across the ocean.","YAHT","a large pleasure boat"
Yellow,"The sunflower was bright yellow.","YEL-oh","a color like sunshine"
Zebra,"Zebras have black and white stripes.","ZEE-bruh","an African animal with stripes"
Zipper,"My jacket has a broken zipper.","ZIP-er","a fastener with interlocking teeth"
