word,sentense,pronounce,definition
Jubilant,"The team felt jubilant after winning.","JOO-buh-luhnt","very happy because of success"
Kangaroo,"The kangaroo hopped across the field.","KAN-guh-roo","an Australian animal that hops and carries babies in a pouch"
Kingdom,"The king ruled over his large kingdom.","KING-duhm","a country ruled by a king or queen"
Lantern,"We hung a lantern on the porch.","LAN-turn","a lamp with a protective cover"
Lighthouse,"The lighthouse helped guide the ships at night.","LITE-hous","a tall light tower that guides ships"
Luminous,"The stars were luminous in the night sky.","LOO-muh-nuhs","glowing; giving off light"
Magnificent,"The palace was magnificent.","mag-NIF-uh-snt","very beautiful or impressive"
Marvelous,"The sunset looked absolutely marvelous.","MAR-vuh-luhs","wonderful; very good"
Melody,"The song had a beautiful melody.","MEL-uh-dee","the tune of a song"
Necklace,"My mom wore a pearl necklace to dinner.","NEK-lis","jewelry worn around the neck"
Noble,"The knight was brave and noble.","NOH-buhl","having good character; honorable"
Noteworthy,"The scientist made a noteworthy discovery.","NOTE-wur-thee","important; worth noticing"
Oasis,"The travelers found water in the oasis.","oh-AY-sis","a place with water in a dry area"
Observatory,"We visited an observatory to see the stars.","ub-ZUR-vuh-tor-ee","a place for watching the sky"
Octopus,"An octopus has eight arms to swim.","OK-tuh-pus","a sea animal with eight arms"
Passionate,"She is passionate about music.","PASH-uh-nuht","having strong feelings about something"
Peculiar,"That cloud has a very peculiar shape.","puh-KYOO-lee-er","strange; unusual"
Penguin,"Penguins waddle when they walk.","PEN-gwin","a black-and-white bird that cannot fly"
Question,"I raised my hand to ask a question.","KWES-chuhn","something you ask to get an answer"
Quiver,"She felt a quiver of excitement.","KWIV-er","a small shake or tremble"
Radiance,"The candle’s radiance lit the room.","RAY-dee-uns","bright light; glow"
Reverence,"He spoke with reverence about his teacher.","REV-er-uhns","deep respect"
Riverbank,"We had a picnic by the riverbank.","RIV-er-bank","the land along the edge of a river"
Scenery,"The mountain scenery was breathtaking.","SEE-nuh-ree","the view of a place"
Seahorse,"A tiny seahorse swam near the coral reef.","SEE-hors","a small fish with a horse-like head"
Serenity,"The lake had a feeling of serenity.","suh-REN-uh-tee","calmness; peacefulness"
Tranquil,"The park was very tranquil in the morning.","TRANG-kwil","peaceful and quiet"
Treasure,"The pirates buried their treasure on the island.","TREZH-er","valuable things, like gold or jewels"
Twilight,"The sky turned pink at twilight.","TWI-lite","the light just before night"
Unanimous,"The vote was unanimous.","yoo-NAN-uh-muhs","everyone agreed"
Unique,"Everyone has a unique talent.","yoo-NEEK","one of a kind; special"
Universe,"The universe is filled with stars and planets.","YOO-nih-vers","everything that exists in space"
Versatile,"She is a versatile musician.","VUR-suh-tile","able to do many different things"
Vibrant,"The painting was full of vibrant colors.","VY-bruhnt","bright and full of life"
Violin,"She played a lovely tune on her violin.","VY-oh-lin","a string instrument played with a bow"
Wanderer,"The wanderer traveled across the desert.","WAN-der-er","a person who travels without a home"
Waterfall,"The waterfall flowed down the rocks.","WAW-ter-fawl","water falling over a cliff"
Whimsical,"The book had a whimsical story.","WIM-zi-kuhl","playful and imaginative"
Xenon,"Xenon is a type of gas.","ZEE-non","a colorless gas element"
Xylophone,"I played a song on the xylophone.","ZY-luh-fohn","a musical instrument with bars you strike"
Youthful,"Grandma has a youthful spirit.","YOOTH-ful","young or seeming young"
Zealous,"He was zealous about learning.","ZEL-uhs","very eager and excited about something"
Zephyr,"A soft zephyr blew through the trees.","ZEH-fur","a gentle breeze"
Agitate,"The wind began to agitate the calm ocean.","AJ-ih-tayt","to stir up; to make move around"
Allege,"The witness began to allege what she saw.","uh-LEJ","to say something happened, without proof"
Astonishment,"Her face showed astonishment at the surprise.","uh-STON-ish-muhnt","great surprise"
Belligerent,"The belligerent dog barked loudly at strangers.","buh-LIJ-er-ent","angry and ready to fight"
Benevolent,"The king was benevolent and kind to all.","buh-NEV-uh-lent","kind and caring"
Capricious,"The weather was capricious today.","kuh-PRISH-us","changing quickly and unpredictably"
Chaotic,"The classroom became chaotic after the announcement.","kay-OT-ik","very messy and out of control"
Conundrum,"Solving the puzzle was a real conundrum.","kuh-NUN-drum","a difficult problem"
Devious,"The villain had a devious plan.","DEE-vee-us","sneaky and tricky"
Diminish,"The snow began to diminish in the warm sun.","di-MIN-ish","to become smaller; to lessen"
Dismal,"The rainy day felt dark and dismal.","DIZ-muhl","gloomy; sad"
Emphasize,"The teacher told us to emphasize important points.","EM-fuh-size","to make something stand out as important"
Envious,"I felt envious of my friend’s new bike.","EN-vee-us","wanting what someone else has"
Exhilarating,"The roller coaster ride was exhilarating.","ig-ZIL-uh-ray-ting","exciting and full of energy"
Exquisite,"The artist painted an exquisite masterpiece.","eks-KWIZ-it","very beautiful; excellent"
Ferocious,"The ferocious tiger roared loudly.","fuh-ROH-shus","fierce and wild"
Gargantuan,"The whale was a gargantuan creature.","gar-GAN-choo-uhn","very large"
Gnarled,"The old tree had gnarled branches.","NARLD","twisted and rough"
Grievance,"The workers filed a grievance with their boss.","GREE-vuns","a complaint about something unfair"
Gruesome,"The horror movie had a gruesome scene.","GROO-sum","horrible or scary to look at"
Hostile,"The two teams had a hostile rivalry.","HOS-tile","unfriendly; mean"
Humble,"He remained humble despite his success.","HUM-buhl","not bragging; modest"
Immaculate,"The house was kept in immaculate condition.","ih-MAK-yuh-lit","very clean; perfect"
Impede,"The fallen tree began to impede traffic.","im-PEED","to block or slow down"
Lofty,"The mountain had a lofty peak.","LOF-tee","very high"
Malicious,"The villain had a malicious grin.","muh-LISH-us","mean and wanting to hurt others"
Meticulous,"The artist was meticulous with details.","muh-TIK-yuh-lus","very careful and exact"
Negligent,"Leaving the stove on is a negligent mistake.","NEG-li-jent","careless; not paying attention"
Oblivious,"He was oblivious to the fact that he was being watched.","uh-BLIV-ee-us","not noticing what is happening"
Obnoxious,"The loud music was obnoxious.","ob-NOK-shus","very annoying"
Parched,"I was parched after running in the heat.","PARCHT","very thirsty"
Quarrel,"The siblings had a quarrel over the last cookie.","KWOR-uhl","an argument"
Revoke,"The school may revoke privileges if rules are broken.","ree-VOHK","to take back; cancel"
Scrutinize,"The scientist will scrutinize the results.","SKROO-tuh-nyz","to examine closely"
Somber,"The mood was somber at the funeral.","SOM-ber","serious and sad"
Tumultuous,"The debate turned into a tumultuous argument.","too-MUL-choo-us","loud, confused, and wild"
Undermine,"His lies began to undermine our trust.","UN-der-myne","to weaken or damage"
Vicious,"The dog had a vicious growl.","VISH-us","mean and dangerous"
Almond,"Almonds are a healthy snack.","ALL-mund","a nut with a hard shell"
Artichoke,"I ate grilled artichoke with butter.","AR-ti-choke","a vegetable with many leaves"
Asparagus,"Asparagus is a delicious vegetable.","uh-SPAR-uh-gus","a long green vegetable"
Bagel,"I had a bagel with cream cheese.","BAY-guhl","a round, chewy bread with a hole"
Basil,"Fresh basil adds great flavor to pasta.","BAY-zuhl","a leafy herb used in cooking"
Butterscotch,"I love butterscotch pudding.","BUT-er-skoch","a sweet flavor made with butter and sugar"
Cabbage,"Cabbage is used in coleslaw.","KAB-ij","a leafy vegetable"
Cappuccino,"My mom drinks cappuccino in the morning.","kap-uh-CHEE-noh","a coffee drink with foamed milk"
Chowder,"The clam chowder was creamy and warm.","CHOW-der","a thick soup"
Cranberry,"Cranberry juice is very tart.","KRAN-ber-ee","a small sour red berry"
Croissant,"I had a warm croissant for breakfast.","krwah-SAHNT","a flaky, buttery pastry"
"Deviled eggs","Deviled eggs are great for picnics.","DEV-uhld EGZ","hard-boiled eggs filled with a seasoned yolk mixture"
Dumpling,"The dumpling was filled with vegetables.","DUMP-ling","a small piece of cooked dough, often with filling"
Fennel,"Fennel has a light licorice flavor.","FEN-uhl","a plant used as a vegetable; tastes like licorice"
Fettuccine,"I ordered fettuccine Alfredo at the restaurant.","fet-uh-CHEE-nee","a type of long, flat pasta"
Guacamole,"We made guacamole with fresh avocados.","GWAH-kah-MOH-lee","a dip made from mashed avocados"
Hazelnut,"I love hazelnut chocolate spread.","HAY-zuhl-nut","a round brown nut"
Jambalaya,"Jambalaya is a spicy rice dish.","JAM-buh-LY-uh","a spicy dish with rice, meat, and vegetables"
Lentils,"Lentils are full of protein and fiber.","LEN-tilz","small round beans used in soups and meals"
Meringue,"The lemon pie had a fluffy meringue topping.","muh-RANG","a sweet topping made from whipped egg whites and sugar"
Omelet,"My omelet had cheese and vegetables.","OM-lit","eggs beaten and cooked, often folded with filling"
Quiche,"The spinach quiche was delicious.","KEESH","a savory pie made with eggs and cheese"
Ravioli,"My ravioli was stuffed with cheese.","RAV-ee-OH-lee","pasta with filling inside"
Sorbet,"I had raspberry sorbet for dessert.","sor-BAY","a frozen dessert made from fruit and sugar"
Tortilla,"I used a tortilla to make a burrito.","tor-TEE-yuh","a thin flat bread used for wraps"
